ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename	
NLLT_06694		NLLT	19	NA	2001	pp67–107	p91	54b	ex:Mit wem glaubst Hans Jakob jetzt spricht?|with whom believes Hans Jakob now speaks|With whom does Hans think Jakob is now speaking?	O	Hans	think	S	A	M	S	Y	N			Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										O	Jakob	speak	S	A	M	S	Y	N					
										O	whom	speak	Q 	E	N	S	N	Y		not sure if argument			
NLLT_06698		NLLT	19	NA	2001	pp67–107	p100	67	ex:[CP Howi [CP which carj did [IP you ?x tj ti ]]]?	E											Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06699		NLLT	19	NA	2001	pp67–107	p100	68a	"ex:? What did you show to whom without giving to?|b. ? whati did you show t to whomj [Oi,j without PRO giving pgi to|pgj ]?"	E	whom	show	Q 	R	N	S	N	Y			Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	whom	give	Q 	R	N	S	N	Y					
NLLT_07471		NLLT	19	NA	2001	pp109–152	p112	2a	ex:Eric insisted that it would be ridiculous [to call for help].|b. That [covering themselves with mud] disturbed Spiro amused|Dick.	E	Eric	insist	S	A	M	S	Y 	N	E		Constructed	file:Landau2001_Article_ControlAndExtrapositionTheCase.html	
										E	themelves	cover	O	P	N	P	N	Y					
										E	Spiro	disturb	O	E	M	S	Y	N	E				
										E	Dick	amuse	O	E	M	S	Y	N	E				
NLLT_07472		NLLT	19	NA	2001	pp109–152	p117	2b	ex:Barnen förstod att a vara snälle gladde John|the-children understood that to be nice (pl.) pleased John|The children understood that to be nice (pl.) pleased John.	O	children	understand	S	A	N	P	N	N			Constructed	file:Landau2001_Article_ControlAndExtrapositionTheCase.html	
										O	John	please	O	E	M	S	Y	N	E				
NLLT_07473		NLLT	19	NA	2001	pp109–152	p126	21a	ex:? Mary1 thought that it pleased John [PRO1 to talk about herself].|b. ?Mary1 thought that it pleased the man greatly who hired her for|the job [PRO1 to talk about herself].	E	Mary	think	S	A	F	S	Y	N			Constructed	file:Landau2001_Article_ControlAndExtrapositionTheCase.html	
										E	Mary	talk	S	A	F	S	Y	N					
										E	John	please	O	E	M	S	Y	N	E				
										E	man	please	O	E	M	S	N	N	E				
										E	who	hire	S	A	N	S	N	Y	OS				
										E	her	hire	O	P	F	S	N	Y	OS				
NLLT_07474		NLLT	19	NA	2001	pp109–152	p134	41a	ex:? It would help Bill’s1 friends [PRO1 to behave himself in public].|b. It would help Bill’s1 con?dence [PRO1 to plan his itinerary in|advance].	E	Bill				M	S	Y	N	E	possessor	Constructed	file:Landau2001_Article_ControlAndExtrapositionTheCase.html	
										E	Bill	plan	S	A	M	S	Y	N	B	stands for pro1?			
NLLT_07611		NLLT	19	NA	2001	pp901–919	p909	4a	ex:There seemed to be a lion in the closet.|?|b. There seemed a lion to be in the closet.	E	lion	seem	S	E	N	S	N	N			Constructed	file:Lappin2001_Article_TheRevolutionMaximallyConfused.html	
										E	lion	be	S	E	N	S	N	N					
NLLT_07791		NLLT	19	NA	2001	pp683–735	p694	27a	ex:? Some visited more people than [B I claimed Bart visited ].|b. ? Some visited many people and [B I claimed Bart|visited many people].	E	some	visit	S	A	N	P	N	Y			Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										E	people	visit	O	P	N	P	N	N					
										E	Bart 	visit	S	A	M	S	Y	N					
NLLT_07792		NLLT	19	NA	2001	pp683–735	p695	27b	ex:??Some refused/avoided/pretended to visit Sam and|others refused/avoided/pretended [?restructuring]|[CP to visit Otto].	E	some	refuse	S	A	N	P	N	Y	E		Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										E	some	avoid	S	A	N	P	N	Y	E				
										E	some	pretend	S	A	N	P	N	Y	E				
										E	some 	visit	S	A	N	P	N	Y					
										E	Sam	visit	O	P	M	S	Y	N					
										E	Otto	visit	O	P	M	S	Y	N					
NLLT_07793		NLLT	19	NA	2001	pp683–735	p696	30a	ex:More people promised/tried/wanted to visit Sam (on Monday)|than promised/tried/wanted [+restructuring] [CP[??nite] to visit Otto|(on Friday)].	E	people	promise	S	A	N	P	N	N			Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										E	people	try	S	A	N	P	N	N					
										E	people	want	S	A	N	P	N	N	E				
										E	people	visit 	S	A	N	P	N	N		odd formatting?			
										E	Sam	visit	O	P	M	S	Y	N					
										E	Otto	visit	O	P	M	S	Y	N					
NLLT_07794		NLLT	19	NA	2001	pp683–735	p696	30b	ex:? More people promised that they would visit Sam (on Monday)|than promised [CP[+?nite] that they would visit Otto (on Fri-|day)].	E	people	promise	S	A	N	P	N	N			Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										E	people	visit 	S	A	N	P	N	N					
										E 	Sam	visit	O	P	M	S	Y	N					
										E	Otto	visit	O	P	M	S	Y	N					
NLLT_07795		NLLT	19	NA	2001	pp683–735	p697	31	ex:??More people refused/avoided/pretended to visit Sam (on|Monday) than refused/avoided/pretended [?restructuring]|[CP to visit Otto (on Friday)].	E	people	refuse	S	A	N	P	N	N	E		Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										E	people	avoid	S	A	N	P	N	N					
										E	people	pretend	S	A	N	P	N	N					
										E	people	visit 	S	A	N	P	N	N					
										E	Sam	visit	O	P	M	S	Y	N					
										E	Otto	visit	O	P	M	S	Y	N					
NLLT_07798		NLLT	19	NA	2001	pp683–735	p720	78a	ex:Gestern hatk Hans mehr Bücher tk bestellt als gelesen tk .|yesterday has H. more books ordered than read|b. ? Gestern hatk Hans mehr Bücher tk bestellt als gelesen hat.	O	Hans	have	S	A	M	S	Y	N	B		Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
										O	Hans	read	S	A	M	S	Y	N	B				
NLLT_07799		NLLT	19	NA	2001	pp683–735	p728	4a	ex:PC: John is older than me.|?|b. Source: John is older than me am.	E	John	be	S	E	M	S	Y	N	K		Constructed	file:Lechner2001_Article_ReducedAndPhrasalComparatives.html	
NLLT_08130		NLLT	19	NA	2001	pp311–353	p312	XXb	ex:Hari pustakavannu tann-a hindee nooD-id-a.|Hari book-ACC self-GEN behind see-PST-3SM|Hari saw the book behind him(self).	O	Hari	see	S	A	M	S	Y	N	B		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08131		NLLT	19	NA	2001	pp311–353	p313	1a	ex:hari tann-annu hogaL-i-koND-a.|Hari self-ACC praise-PP-REFL.PST-3SM|Hari praised himself.	O	Hari	praise	S	A	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	praise	O	P	M	S	Y	N	E				
NLLT_08132		NLLT	19	NA	2001	pp311–353	p313	XXd	ex:hari rashmi-yannu hogaL-id-a.|Hari Rashmi-ACC praise-PST-3SM|Hari praised Rashmi.	O	Hari	praise	S	A	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Rashmi	praise	O	P	F	S	Y	N	E				
NLLT_08133		NLLT	19	NA	2001	pp311–353	p313	2a	ex:baagil-u muchi-tu.|door-NOM close-PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08134		NLLT	19	NA	2001	pp311–353	p313	2b	ex:baagil-u muchi-koND-itu.|door-NOM close-PP-REFL.PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08135		NLLT	19	NA	2001	pp311–353	p314	2c	ex:hari baagil-annu much-id-a.|Hari door-ACC close-PST-3SM|Hari closed the door.	O	Hari	close	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08136		NLLT	19	NA	2001	pp311–353	p315	XXb	ex:hari kannu-gaL-annu tere-du-koND-a.|Hari eye-PL-ACC open-PP-REFL.PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08137		NLLT	19	NA	2001	pp311–353	p316	4a	ex:rashmi-ge tannu ishta-aada.|Rashmi-DAT self-NOM linking-becomes|Rashmi likes herself.	O	Rashmi	like	S	A	F	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	herself	like	O	P	F	S	N	Y	E				
NLLT_08138		NLLT	19	NA	2001	pp311–353	p316	5a	ex:hari kannu-gaL-annu tere-du-koND-a.|Hari eye-PL-ACC open-PP-REFL.PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N		same as 08136	Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08139		NLLT	19	NA	2001	pp311–353	p316	5b	ex:baagil-u much-i-koND-itu.|door-NOM close-PP-REFL.PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08140		NLLT	19	NA	2001	pp311–353	p317	6a	ex:raaju tann-a angiy-annu hari-d-a.|Raaju-NOM self-GEN shirt-ACC tear-PST-3SM|Raaju tore his shirt.	O	Raaju 	tear	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y	V	possessor			
NLLT_08141		NLLT	19	NA	2001	pp311–353	p317	6b	ex:raaju tann-a angiy-annu hari-du-koND-a.|Raaju-NOM self-GEN shirt-ACC tear-PP-REFL-PST-3SM|Raaju got his shirt torn.	O	Raaju 	get	S	E	M	S	Y	N	V	experiencer?	Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08142		NLLT	19	NA	2001	pp311–353	p317	6c	ex:raaju hariy-a angiy-annu hari-d-a.|Raaju-NOM Hari-GEN shirt-ACC tear-PST-3SM|Raaju tore his shirt.	O	Raaju 	tear	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08143		NLLT	19	NA	2001	pp311–353	p318	7a	ex:hari-yu tann-a kal-annu mur-id-a.|Hari-NOM self-GEN leg-ACC break-PST-3SM|Hari broke his leg (accidentally).	O	Hari	break	S	E	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y	V	possessor			
NLLT_08144		NLLT	19	NA	2001	pp311–353	p318	7b	ex:hari-yu tann-a kal-annu mur-idu-koND-a.|Hari-NOM self-GEN leg-ACC break-PP-REFL.PST-3SM|Hari broke his leg (deliberately).	O	Hari	break	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O 	his				M	S	N	Y	V	possessor			
NLLT_08145		NLLT	19	NA	2001	pp311–353	p318	8a	ex:hari-yu tann-a tale-yannu eTT-id-a.|Hari-NOM self-GEN head-ACC lift-PST-3SM|Hari lifted his head.	O	Hari	lift	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O 	his				M	S	N	Y		possessor			
NLLT_08146		NLLT	19	NA	2001	pp311–353	p318	8b	ex:hari-yu tann-a tale-yannu eTT-i-koND-a.|Hari-NOM self-GEN head-ACC lift-PP-REFL.PST-3SM|Hari lifted his head.	O	Hari	lift	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O 	his				M	S	N	Y		possessor			
NLLT_08147		NLLT	19	NA	2001	pp311–353	p318	9a	ex:hari-yu kannu-gaL-annu tere-d-a.|Hari-NOM eye-PL-ACC open-PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08148		NLLT	19	NA	2001	pp311–353	p319	9b	ex:hari-yu kannu-gaL-annu tere-du-koND-a.|Hari-NOM eye-PL-ACC open-PP-REFL.PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08149		NLLT	19	NA	2001	pp311–353	p319	10a	ex:#hari-yu tann-a kal-annu kooli-ninda mur-id-a.|Hari-NOM self-GEN leg-ACC stick-INSTR break-PST-3SM|Hari broke his leg with a stick.	O	Hari	break	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08150		NLLT	19	NA	2001	pp311–353	p319	11a	ex:#hari-yu tann-a tale-yannu kai-gaL-inda eTT-id-a.|Hari-NOM self-GEN head-ACC hand-PL-INSTR lift-PST-3SM|Hari lifted his head with his hands.	O	Hari	lift	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O 	his				M	S	N	Y		possessor			
NLLT_08151		NLLT	19	NA	2001	pp311–353	p320	12a	ex:#hari-yu kannu-gaL-annu kai-gaL-inda tere-d-a.|Hari-NOM eye-PL-ACC hand-PL-INSTR open-PST-3SM|Hari opened his eyes with his hands.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08152		NLLT	19	NA	2001	pp311–353	p320	14	ex:Rashmi baagil-annu kai-gaL-inda much-id-aLu.|Rashmi door-ACC hand-PL-INSTR close-PST-3SF|Rashmi closed the door with her hands.	O	Rashmi	close	S	A	F	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	her				F	S	N	Y		possessor			
NLLT_08153		NLLT	19	NA	2001	pp311–353	p322	16a	ex:naan-u baagil-annu much-i-de.|I-NOM door-ACC close-PST-1S|I closed the door.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08154		NLLT	19	NA	2001	pp311–353	p322	XXc	ex:baagil-u much-i-tu.|door-NOM close-PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08155		NLLT	19	NA	2001	pp311–353	p322	XXd	ex:baagil-u much-i-koND-itu.|door-NOM close-PP-REFL.PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08156		NLLT	19	NA	2001	pp311–353	p322	17a	ex:divya-la celuv-ige divaakara mana soot-a.|Divya-GEN beauty-DAT Divakara-NOM mind lose.PST-3SM|Divakara lost his mind because of Divya’s beauty.	O	Divakara	lose mind	S	E	M	S	Y	N	ER		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Divya				U	S	Y	N	SR				
NLLT_08157		NLLT	19	NA	2001	pp311–353	p322	17b	ex:caL-ige avan-ige jvara bant-u.|cold-DAT he-DAT fever-NOM come-PST-3SN|He got a fever because of the cold.	O	he	get fever	S	E	M	S	N	Y			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08158		NLLT	19	NA	2001	pp311–353	p323	18a	ex:gaaL-ige baagil-u much-i-koND-itu.|wind-DAT door-NOM close-PP-REFL.PST-3SN|The door closed because of the wind.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08160		NLLT	19	NA	2001	pp311–353	p325	22	ex:John broke the vase.	E	John	break	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08162		NLLT	19	NA	2001	pp311–353	p328	29	ex:hari baagil-annu much-id-a|Hari door-ACC close-PST-3SM|Hari closed the door.	O	Hari	close	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08164		NLLT	19	NA	2001	pp311–353	p329	18a	ex:gaaL-ige baagil-u much-i-koND-itu.|wind-DAT door-NOM close-PP-REFL.PST-3SN|The door closed because of the wind.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08165		NLLT	19	NA	2001	pp311–353	p330	34	ex:hari-yu kannu-gal-annu tere-du-koND-a.|Hari-NOM eye-PL-ACC open-PP-REFL.PST-3SM|Hari opened his eyes (with some instrument).	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08166		NLLT	19	NA	2001	pp311–353	p331	37	ex:hari kannu-gaL-annu tere-d-a.|Hari-NOM eye-PL-ACC open-PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08167		NLLT	19	NA	2001	pp311–353	p332	39a	ex:hari tanna naaligey-annu chaach-id-a.|Hari self-GEN tongue-ACC stick.out-PST-3SM|Hari stuck out his tongue.	O	Hari	stick out	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08168		NLLT	19	NA	2001	pp311–353	p332	39b	ex:hari tanna naaligey-annu chaach-i-koND-a.|Hari self-GEN tongue-ACC stick.out-PP-REFL.PST-3SM|Hari stuck out his tongue.	O	Hari	stick out	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08169		NLLT	19	NA	2001	pp311–353	p334	40a	ex:hari-yu (tann-annu) hoDe-du-koNDa.|Hari-NOM (self-ACC) hit-PP-REFL.PST-3SM|Hari hit himself.	O	Hari	hit	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	hit	O	P	M	S	Y	N	V				
NLLT_08170		NLLT	19	NA	2001	pp311–353	p335	42a	ex:rashmi-ge hari ishta-aad-a.|Rashmi-DAT Hari-NOM liking-become.NPST-3SM|Rashmi likes Hari.	O	Rashmi	like	S	A	F	S	Y	N	ER		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Hari	like	O	P	M	S	Y	N	ER				
NLLT_08171		NLLT	19	NA	2001	pp311–353	p335	42b	ex:rashmi-ge tannu ishta-aad-a.|rashmi-DAT self-NOM liking-become.NPST-3SM|Rashmi likes herself.	O	Rashmi	like	S	A	F	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	herself	like	O	P	F	S	N	Y	E				
NLLT_08172		NLLT	19	NA	2001	pp311–353	p336	45	ex:?? Hari tann-annu priitisu-koLL-utt-aane.|Hari self-ACC love-REFL-NPST-3SM|Hari loves himself.	O	Hari	love	S	A	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	love	O	P	M	S	N	Y	E				
NLLT_08173		NLLT	19	NA	2001	pp311–353	p337	46	ex:Hari mattu Rashmi priitisu-koLL-utt-aare.|Hari and Rashmi love-REFL-NPST-3PL|Hari and Rashmi love each other.	O	Hari	love	S	A	M	S	Y	N	ER		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Rashmi	love	S	A	F	S	Y	N	ER				
										O 	each other	love	O	P	N	S	N	Y	ER				
NLLT_08174		NLLT	19	NA	2001	pp311–353	p337	47a	ex:Hari tann-annu mechi-koLL-utt-aane.|Hari self-ACC like-REFL-NPST-3SM|Hari likes himself.	O	Hari	like	S	A	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	like	O	P	M	S	N	Y	E				
NLLT_08175		NLLT	19	NA	2001	pp311–353	p337	47b	ex:Rashmi tann-annu hachi-koLL-utt-aaLe.|Rashmi self-ACC be.fond.of-REFL-NPST-3SF|Rashmi is fond of herself.	O	Rashmi	be (fond)	S	E	F	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	herself	be (fond)	Q	E	F	S	N	Y	E	experiencer?			
NLLT_08176		NLLT	19	NA	2001	pp311–353	p338	XXb	ex:avan-ige beva-t-itu.|he-DAT sweat-PST-3SN|He sweated.	O	he	sweat	S	E	M	S	N	Y	S		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08177		NLLT	19	NA	2001	pp311–353	p338	49a	ex:avan-u beva-tu-koND-a.|he-NOM sweat-PP-REFL.PST-3SM|He sweated.	O	he	sweat	S	E	M	S	N	Y	S		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08178		NLLT	19	NA	2001	pp311–353	p338	50	ex:rashmi awan-age-taane hari-yannu tooris-id-aLu.|Rashmi he-DAT-self Hari-ACC show-PST-3SF|Rashmi showed Hari to himself.	O	Rashmi	show	S	A	F	S	Y	N	A		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Hari	show	O	P	M	S	Y	N	A				
										O	himself	show	Q	R	M	S	N	Y	A				
NLLT_08179		NLLT	19	NA	2001	pp311–353	p339	53a	ex:hari santooshag-iruw-aage kaNis-utt-aane.|Hari happy-be-PRED seem-PRES-3SM|Hari seems to be happy.	O	Hari	seem	S	E	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Hari	be	S	E	M	S	Y	N	E				
NLLT_08180		NLLT	19	NA	2001	pp311–353	p339	53b	ex:hari tann-age santooshaag-iruw-aage kaNis-utt-aane.|Hari self-DAT happy-be-PRED seem-PRES-3SM|Hari seems to himself to be happy.	O	Hari	seem	S	E	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	seem	Q	R	M	S	N	Y		recipient?			
										O	Hari	be	S	E	M	S	Y	N	E				
NLLT_08181		NLLT	19	NA	2001	pp311–353	p339	53c	ex:? hari tan-age santooshaag-iruw-aage kaNis-koLL-utt-aane.|Hari self-DAT happy-be-PRED seem-REFL-PST-3SM|Hari seems to himself to be happy.	O	Hari	seem	S	E	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	seem	Q	R	M	S	N	Y		recipient?			
										O	Hari	be	S	E	M	S	Y	N	E				
NLLT_08182		NLLT	19	NA	2001	pp311–353	p340	XXc	ex:hari tannu rashmi-yannu hoDe-d-a anta heeL-id-a.|Hari self-NOM Rashmi-ACC hit-PST-3SM that say-PST-3SM|Hari said that he hit Rashmi.	O	Hari	say	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	he	hit	S	A	M	S	N	Y	V				
										O	Rashmi	hit	O	P	F	S	Y	N	V				
NLLT_08183		NLLT	19	NA	2001	pp311–353	p340	56a	ex:baagil-u much-i-koND-itu.|door-NOM close-PP-REFL.PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08184		NLLT	19	NA	2001	pp311–353	p340	56b	ex:baagil-u much-i-tu.|door-NOM close-PST-3SN|The door closed.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08185		NLLT	19	NA	2001	pp311–353	p341	57a	"ex:gaal-ige baagil-u much-i-koND-itu.|wind-DAT door-NOM close-PP-REFL.PST-3SN|Because of the wind, the door closed."	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08186		NLLT	19	NA	2001	pp311–353	p341	57b	"ex:? gaal-ige baagil-u much-i-tu.|wind-DAT dor-NOM close-PST-3SN|Because of the wind, the door closed."	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08187		NLLT	19	NA	2001	pp311–353	p343	60	ex:hari (tann-annu) hoDe-du-koND-a.|Hari (self-ACC) hit-PP-REFL.PST-3SM|Hari hit himself.	O	Hari	hit	S	A	M	S	Y	N	V		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	hit	O	P	M	S	N	Y	V				
NLLT_08188		NLLT	19	NA	2001	pp311–353	p344	61a	ex:hari kannu-gaL-annu tere-d-a.|Hari eye-PL-ACC open-PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08189		NLLT	19	NA	2001	pp311–353	p344	61b	ex:hari kannu-gaL-annu tere-du-koND-a.|Hari eye-pl-ACC open-PP-REFL.PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08190		NLLT	19	NA	2001	pp311–353	p344	62a	ex:? hari kannu-gaL-annu kai-gaL-inda tere-d-a.|Hari eye-PL-ACC hand-PL-INSTR open-PST-3SM|Hari opened his eyes with his hands.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08191		NLLT	19	NA	2001	pp311–353	p345	63	ex:hari (tann-age) pustaka-vannu koTTu-koND-a.|Hari (self-DAT) book-ACC give.PP-REFL.PST-3SM|Hari gave himself a book.	O	Hari	give	S	A	M	S	Y	N	B		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	give	Q	R	M	S	N	Y	B				
NLLT_08193		NLLT	19	NA	2001	pp311–353	p345	64	ex:hari (? tann-age) kannu-gaL-annu tere-du-koND-a.|Hari (? self-DAT) eye-PL-ACC open-PP-REFL.PST-3SM|Hari opened his eyes.	O	Hari	open	S	A	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	his				M	S	N	Y		possessor			
NLLT_08194		NLLT	19	NA	2001	pp311–353	p346	65a	ex:Maria si guarda.|Maria REFL watches|Maria watches herself.	O	Maria	watch	S	A	F	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	herself	watch	O	P	F	S	N	Y					
NLLT_08195		NLLT	19	NA	2001	pp311–353	p346	65b	ex:Il vetro si rompe.|The glass REFL breaks|The glass breaks.	O											Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08196		NLLT	19	NA	2001	pp311–353	p347	XXb	ex:? Gianni si preoccupa.|Gianni REFL worries|Gianni worries himself.	O	Gianni	worry	S	A	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	himself	worry	O	P	M	S	N	Y	E				
NLLT_08197		NLLT	19	NA	2001	pp311–353	p347	69	ex:Gianni si preoccupa di questo.|Gianni REFL worries of this|gianni gets worried from this.	O	Gianni	worry	S	E	M	S	Y	N	E		Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
NLLT_08198		NLLT	19	NA	2001	pp311–353	p348	71	ex:Gianni si sembra simpatico.|Gianni REFL seem nice|Gianni seems to himself to be nice.	O	Gianni	seem	S	E	M	S	Y	N			Constructed	file:Lidz2001_Article_TheArgumentStructureOfVerbalRe.html	
										O	Gianni	be	S	E	M	S	Y	N					
